"PK","SK","close_price","created_at","date","high_price","low_price","open_price","sma_30","sma_5","stock_code","timestamp","volume"
"STOCK#005930#MINUTE","2025-09-11 10:53:00","72200","2025-09-11 10:53:00","","72300","72200","72250","72483.33333333333333333333333","72290","005930","2025-09-11 10:53:00","70"
"STOCK#005930#MINUTE","2025-09-11 10:54:00","72250","2025-09-11 10:54:00","","72300","72200","72250","72476.66666666666666666666667","72270","005930","2025-09-11 10:54:00","30750"
"STOCK#005930#MINUTE","2025-09-11 10:55:00","72200","2025-09-11 10:55:00","","72200","72200","72200","72468.33333333333333333333333","72260","005930","2025-09-11 10:55:00","2"
"STOCK#005930#MINUTE","2025-09-11 10:56:00","72200","2025-09-11 10:56:00","","72300","72100","72200","72458.33333333333333333333333","72260","005930","2025-09-11 10:56:00","101315"
"STOCK#005930#MINUTE","2025-09-11 10:57:00","72200","2025-09-11 10:57:00","","72200","72200","72200","72441.66666666666666666666667","72230","005930","2025-09-11 10:57:00","3"
"STOCK#005930#MINUTE","2025-09-11 10:58:00","72300","2025-09-11 10:58:00","","72300","72200","72250","72430","72240","005930","2025-09-11 10:58:00","75"
"STOCK#005930#MINUTE","2025-09-11 10:59:00","72350","2025-09-11 10:59:00","","72350","72300","72300","72418.33333333333333333333333","72230","005930","2025-09-11 10:59:00","16343"
"STOCK#005930#MINUTE","2025-09-11 11:00:00","72400","2025-09-11 11:00:00","","72400","72400","72400","72410","72280","005930","2025-09-11 11:00:00","140"
"STOCK#005930#MINUTE","2025-09-11 11:01:00","72300","2025-09-11 11:01:00","","72300","72300","72300","72391.66666666666666666666667","72280","005930","2025-09-11 11:01:00","71"
"STOCK#005930#MINUTE","2025-09-11 11:02:00","72400","2025-09-11 11:02:00","","72400","72400","72400","72385","72320","005930","2025-09-11 11:02:00","19"
"STOCK#005930#MINUTE","2025-09-11 11:03:00","72300","2025-09-11 11:03:00","","72400","72300","72350","72375","72320","005930","2025-09-11 11:03:00","28"
"STOCK#005930#DAILY","2025-09-10","72600","2025-09-10 16:25:31","2025-09-10","72800","71600","71800","","","005930","2025-09-10 09:00:00","21566429"